id,name,title_id,prize_size,assort,title,series_id,release_month,Arrival_date,get_date,got_status,is_favorite,image_url,image_url1,image_url2,image_url3,image_url4,memo,created_at,updated_at
,Trio-Try-iT Figureーモモー,14,約21cm,全1種,ダンダダン ,31,2026-03,un,0,,,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539209/trio_try_it_figure_momo_ptk1gt.png,,,,,,,
,Trio-Try-iT Figure―王塚真唯―,34,約19cm,全1種,わたしが恋人になれるわけないじゃん、ムリムリ!（※ムリじゃなかった!?） ,31,2026-03,un,0,,,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539200/trio_try_it_figure_otsuka_mayui_nac4z4.png,,,,,,,
,Trio-Try-iT Figureーイカ娘ー,35,約21cm,全1種,イカ娘 ,31,2026-03,got,1,,,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539205/trio_try_it_figure_ika_musume_yvwahd.png,,,,,,,
,Trio-Try-iT Figureー和泉ユキー,36,約13cm,全1種,ヘブンバーンズレッド ,31,2026-03,un,0,,,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539206/trio_try_it_figure_izumi_yuki_v0aesf.png,,,,,,,
,Trio-Try-iT Figure―モモ・ベリア・デビルーク―,22,約19cm,全1種,To LOVEる ,31,2026-03,got,1,,,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539098/trio_try_it_figure_momo_belia_deviluke_xih7s4.png,,,,,,,
,Trio-Try-iT-Figure―爆豪勝己―,10,約21cm,全1種,僕のヒーローアカデミア ,31,2026-04,un,0,,,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539204/trio_try_it_figure_bakugo_katsuki_drtbdj.png,,,,,,,
,Trio-Try-iT-Figure―緑谷出久―,10,約21cm,全1種,僕のヒーローアカデミア ,31,2026-04,un,0,,,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539209/trio_try_it_figure_midoriya_izuku_no2hlz.png,,,,,,,
,Trio-Try-iT Figureーフリーレンー,12,約17cm,全1種,葬送のフリーレン,31,2026-04,got,1,,,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539203/trio_try_it_figure_frieren_xpqwsy.png,,,,,,,
,Trio-Try-iT Figure―ネオユニヴァースー,37,約22cm,全1種,ウマ娘 プリティーダービー ,31,2026-04,got,1,,,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539098/trio_try_it_figure_neo_universe_uhpmet.png,,,,,,,
,Trio-Try-iT Figureー鵺野鳴介ー,38,約21cm,全1種,地獄先生ぬ～べ～,31,2026-04,un,0,,,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539098/trio_try_it_figure_nueno_meisuke_xkonzx.png ,,,,,,,
,Trio-Try-iT Figureーアイラ(変身)ー,14,約19cm,全1種,ダンダダン ,31,2026-04,un,0,,,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539202/trio_try_it_figure_aira_henshin_bil0hk.png,,,,,,,
,Trio-Try-iT Figure―犬夜叉―vol.2,39,約13cm,全1種,犬夜叉,31,2026-04,un,0,,,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539205/trio_try_it_figure_inuyasha_vol_2_mr5etw.png,,,,,,,
,Trio-Try-iT Figureーおでかけドレス・RED ver.ー,16,約19cm,全1種,初音ミク ,31,2026-04,got,1,,,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539098/trio_try_it_figure_odekake_dress_red_ver_kfaeqr.png,,,,,,,
,Trio-Try-iT Figureー結城美柑ー,22,約20cm,全1種,To LOVEる ,31,2026-04,got,1,,,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539202/trio_try_it_figure_yuuki_mikan_xsiovt.png,,,,,,,
,Trio-Try-iT Figureー壬氏ー,40,約19cm,全1種,薬屋のひとりごと ,31,2026-04,got,1,,,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539208/trio_try_it_figure_jinshi_pgf8df.png,,,,,,,
,Trio-Try-iT Figureー猫猫ー,40,約16cm,全1種,薬屋のひとりごと ,31,2026-04,got,1,,,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539208/trio_try_it_figure_maomao_zkisft.png,,,,,,,
,Trio-Try-iT Figureー玉藻京介ー,38,約21cm,全1種,地獄先生ぬ～べ～,31,2026-05,un,0,,,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539201/trio_try_it_figure_tamamo_kyosuke_aiordr.png ,,,,,,,
,Trio-Try-iT Figureーゆきめー,38,約19cm,全1種,地獄先生ぬ～べ～,31,2026-05,un,0,,,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539201/trio_try_it_figure_yukime_wmmydz.png ,,,,,,,
,Trio-Try-iT Figureージジ(変身)ー,14,約19cm,全1種,ダンダダン ,31,2026-05,un,0,,,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539206/trio_try_it_figure_jiji_henshin_df8gj5.png ,,,,,,,
,Trio-Try-iT Figure―ヒシミラクルー,37,約21cm,全1種,ウマ娘 プリティーダービー ,31,2026-05,un,0,,,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539204/trio_try_it_figure_hishi_miracle_esfcjf.png ,,,,,,,
,Trio-Try-iT Figureー泉こなたー,41,約17cm,全1種,らき☆すた,31,2026-05,un,0,,,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539207/trio_try_it_figure_izumi_konata_dowajb.png ,,,,,,,
,Trio-Try-iT Figure―殺生丸―vol.2,25,約17cm,全1種,犬夜叉,31,2026-05,un,0,,,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539201/trio_try_it_figure_sesshomaru_vol_2_rotnca.png ,,,,,,,
,BiCute Bunnies Figure ーシャルティアー,25,約26cm ,全1種,オーバーロード ,32,2026-03,got,1,,,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539376/becutebunnies_figure_shalltear_fxlbvh.png,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539376/becutebunnies_figure_shalltear2_x8jr5k.png,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539377/becutebunnies_figure_shalltear3_kqlhxx.png ,,,,,
,BiCute Bunnies Figure ー朝比奈みくるー,42,約24cm,全1種,涼宮ハルヒの憂鬱 ,32,2026-03,got,1,,,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539279/becutebunnies_figure_asahina_mikuru_v85jtc.png,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539317/becutebunnies_figure_asahina_mikuru2_tuqodr.png,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539373/becutebunnies_figure_asahina_mikuru3_dpowqo.png,,,,,
,BiCute Dark Figure ーリーファー,43,約23cm,全1種,ソードアート・オンライン,34,2026-03,got,1,,,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539430/becutedark_figure_leafa_sracch.png,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539432/becutedark_figure_leafa2_sleoov.png,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539432/becutedark_figure_leafa3_zxbsut.png ,,,,,
,BiCute Bunnies Figure ーアルベド・another costumeー,25,約30cm,全1種,オーバーロード ,32,2026-04,got,1,,,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539279/becutebunnies_figure_albedo_another_costume_adbn2z.png,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539279/becutebunnies_figure_albedo_another_costume2_ygvcrm.png,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539279/becutebunnies_figure_albedo_another_costume3_drwtow.png,,,,,
,BiCute Bunnies Figure ー金色の闇ー,22,約26cm ,全1種,To LOVEる ,32,2026-04,got,1,,,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539373/becutebunnies_figure_gold_darkness_hhpke6.png,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539373/becutebunnies_figure_gold_darkness2_yhul6g.png,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539374/becutebunnies_figure_gold_darkness3_bfndhh.png,,,,,
,BiCute Bunnie Figure ー宝多六花 イースターバニーver.ー,44,約28cm,全1種,グリッドマン・ユニバース,32,2026-04,got,1,,,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539378/becutebunnies_figure_takarada_rikka_easter_bunny_ver_y4ubj6.png,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539377/becutebunnies_figure_takarada_rikka_easter_bunny_ver2_opcwlf.png,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539378/becutebunnies_figure_takarada_rikka_easter_bunny_ver3_lxht8v.png,,,,,
,BiCute Pure Figure ー星宮六喰ー,45,約21cm,全1種,デート・ア・ライブ,33,2026-04,got,1,,,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539450/becutepure_figure_hoshimiya_muku_wgqdll.png,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539657/becutepure_figure_hoshimiya_muku2_xhjnxz.png,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539450/becutepure_figure_hoshimiya_muku3_xjy9yo.png,,,,,
,BiCute Bunnies Figure ー姫路瑞希ー,46,約28cm,全1種,バカとテストの召喚獣,32,2026-05,un,1,,,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539374/becutebunnies_figure_himeji_mizuki_bazaol.png,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539374/becutebunnies_figure_himeji_mizuki2_ewfojt.png,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539375/becutebunnies_figure_himeji_mizuki3_iui3jx.png,,,,,
,BiCute Bunnies Figure ーモモ・ベリア・デビルークwhite ver.ー,22,約27cm ,全1種,To LOVEる ,32,2026-05,un,1,,,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539375/becutebunnies_figure_momo_belia_deviluke_white_ver_lpl7ei.png,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539374/becutebunnies_figure_momo_belia_deviluke_white_ver2_bklgki.png,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539375/becutebunnies_figure_momo_belia_deviluke_white_ver3_bqik1n.png,,,,,
,BiCute Ribbons Figure ーアルベドー,25,約26cm ,全1種,オーバーロード ,38,2026-05,un,1,,,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539439/bicute_ribbons_figure_albedo_tdskby.png,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539440/bicute_ribbons_figure_albedo2_qcx3we.png,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539438/bicute_ribbons_figure_albedo3_ysuuyk.png,,,,,
,BiCute Dark Figure ー喜多川海夢 黒江雫ver.ー,21,約25cm,全1種,その着せ替え人形は恋をする,34,2026-05,un,1,,,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539430/becutedark_figure_kitagawa_marin_kuroe_shizuku_ver_o14wtk.png,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539431/becutedark_figure_kitagawa_marin_kuroe_shizuku_ver2_nbekzn.png,https://res.cloudinary.com/dq60t7nqg/image/upload/v1777539429/becutedark_figure_kitagawa_marin_kuroe_shizuku_ver3_o3kwvg.png,,,,,
